"","date","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"125",2019-06-28,220.990005,225.169998,220.800003,223.460007,6851400,223.460007
"126",2019-07-01,230.210007,233.100006,226.279999,227.169998,8238000,227.169998
"127",2019-07-02,228.889999,229.149994,222.220001,224.550003,9259000,224.550003
"128",2019-07-03,239.389999,241.570007,234.509995,234.899994,14201100,234.899994
"129",2019-07-05,234.570007,235.449997,230.800003,233.100006,7065700,233.100006
"130",2019-07-08,231.240005,232.25,228.660004,230.339996,5880500,230.339996
"131",2019-07-09,228.970001,231,227.279999,230.059998,6190800,230.059998
"132",2019-07-10,234.149994,238.940002,233.139999,238.919998,9145700,238.919998
"133",2019-07-11,238.139999,241.5,235.800003,238.600006,7514400,238.600006
"134",2019-07-12,239.75,245.380005,239.710007,245.080002,9200500,245.080002
"135",2019-07-15,248,254.419998,244.860001,253.5,11000100,253.5
"136",2019-07-16,249.300003,253.529999,247.929993,252.380005,8149000,252.380005
"137",2019-07-17,255.669998,258.309998,253.350006,254.860001,9764700,254.860001
"138",2019-07-18,255.050003,255.75,251.889999,253.539993,4764500,253.539993
"139",2019-07-19,255.690002,259.959991,254.619995,258.179993,7048400,258.179993
"140",2019-07-22,258.75,262.149994,254.190002,255.679993,6842400,255.679993
"141",2019-07-23,256.709991,260.480011,254.5,260.170013,5023100,260.170013
"142",2019-07-24,259.170013,266.070007,258.160004,264.880005,11072800,264.880005
"143",2019-07-25,233.5,234.5,225.550003,228.820007,22418300,228.820007
"144",2019-07-26,226.919998,230.259995,222.25,228.039993,10027700,228.039993
"145",2019-07-29,227.089996,235.940002,226.029999,235.770004,9273300,235.770004
"146",2019-07-30,232.899994,243.360001,232.179993,242.259995,8109000,242.259995
"147",2019-07-31,243,246.679993,236.649994,241.610001,9178200,241.610001
"148",2019-08-01,242.649994,244.509995,231.770004,233.850006,8259500,233.850006
"149",2019-08-02,231.350006,236.270004,229.229996,234.339996,6136500,234.339996
"150",2019-08-05,229.600006,231.369995,225.779999,228.320007,7028300,228.320007
"151",2019-08-06,231.880005,232.5,225.75,230.75,5564200,230.75
"152",2019-08-07,226.5,233.570007,225.800003,233.419998,4776500,233.419998
"153",2019-08-08,234.449997,239.800003,232.649994,238.300003,5274300,238.300003
"154",2019-08-09,236.050003,238.960007,233.809998,235.009995,3898200,235.009995
"155",2019-08-12,232.990005,235.770004,228.75,229.009995,4663900,229.009995
"156",2019-08-13,228.809998,236,227.550003,235,4848100,235
"157",2019-08-14,231.210007,231.5,216.690002,219.619995,9562600,219.619995
"158",2019-08-15,220.860001,221.559998,211.550003,215.639999,8159600,215.639999
"159",2019-08-16,216.660004,222.240005,216.020004,219.940002,5098500,219.940002
"160",2019-08-19,224.210007,227.830002,221.699997,226.830002,5309600,226.830002
"161",2019-08-20,227.619995,229.089996,224.539993,225.860001,4125200,225.860001
"162",2019-08-21,222.009995,223.220001,217.600006,220.830002,7794300,220.830002
"163",2019-08-22,222.800003,225.399994,218.220001,222.149994,6559000,222.149994
"164",2019-08-23,219.970001,221.169998,211,211.399994,8538600,211.399994
"165",2019-08-26,213.600006,215.020004,211.539993,215,5051900,215
"166",2019-08-27,215.740005,218.800003,212.029999,214.080002,5416200,214.080002
"167",2019-08-28,213.690002,217.25,212.309998,215.589996,3225500,215.589996
"168",2019-08-29,219,223.399994,218,221.710007,5179500,221.710007
"169",2019-08-30,229.149994,232.440002,224.210007,225.610001,9320600,225.610001
"170",2019-09-03,224.080002,228.949997,223.160004,225.009995,5354100,225.009995
"171",2019-09-04,226.889999,228.460007,219.210007,220.679993,5761000,220.679993
"172",2019-09-05,222.5,229.800003,220.850006,229.580002,7395300,229.580002
"173",2019-09-06,227.199997,229.639999,225.169998,227.449997,4189400,227.449997
"174",2019-09-09,230,233.759995,229.229996,231.789993,4802700,231.789993
"175",2019-09-10,230.800003,235.539993,228.940002,235.539993,4883700,235.539993
"176",2019-09-11,237.380005,248.169998,236,247.100006,10042800,247.100006
"177",2019-09-12,247.699997,253.5,244.399994,245.869995,8581200,245.869995
"178",2019-09-13,246.960007,248.449997,244.869995,245.199997,5313100,245.199997
"179",2019-09-16,246,247.429993,241.169998,242.809998,4694600,242.809998
"180",2019-09-17,242.470001,245.600006,240.369995,244.789993,3865400,244.789993
"181",2019-09-18,245,248.169998,242.369995,243.490005,4170200,243.490005
"182",2019-09-19,246,247.940002,244.839996,246.600006,4795800,246.600006
"183",2019-09-20,246.490005,246.949997,238.160004,240.619995,6353000,240.619995
"184",2019-09-23,240,245.179993,239.220001,241.229996,4340200,241.229996
"185",2019-09-24,241.520004,241.990005,222.610001,223.210007,12891500,223.210007
"186",2019-09-25,224.559998,228.979996,218.360001,228.699997,9427100,228.699997
"187",2019-09-26,230.660004,243.309998,227.399994,242.559998,11884500,242.559998
"188",2019-09-27,242.199997,248.710007,238.729996,242.130005,11116400,242.130005
"189",2019-09-30,243,243.979996,236.110001,240.869995,5879800,240.869995
"190",2019-10-01,241.5,245.949997,239.130005,244.690002,6162600,244.690002
"191",2019-10-02,243.289993,244.649994,239.429993,243.130005,5631400,243.130005
"192",2019-10-03,231.860001,234.479996,224.279999,233.029999,15084500,233.029999
"193",2019-10-04,231.610001,234.779999,228.070007,231.429993,7995000,231.429993
"194",2019-10-07,229.800003,238.559998,228.550003,237.720001,8064200,237.720001
"195",2019-10-08,235.869995,243.940002,234.5,240.050003,8678200,240.050003
"196",2019-10-09,241.320007,247.300003,240.649994,244.529999,6894400,244.529999
"197",2019-10-10,245.279999,249.279999,241.580002,244.740005,6283300,244.740005
"198",2019-10-11,247.149994,251.080002,246.809998,247.889999,8475400,247.889999
"199",2019-10-14,247.899994,258.549988,247.130005,256.959991,10205000,256.959991
"200",2019-10-15,257.700012,260,254.119995,257.890015,6432800,257.890015
"201",2019-10-16,257.390015,262.100006,256.920013,259.75,6684100,259.75
"202",2019-10-17,262.5,264.779999,260.170013,261.970001,4769300,261.970001
"203",2019-10-18,260.700012,262.799988,255.100006,256.950012,5749800,256.950012
"204",2019-10-21,258.329987,259.5,250.179993,253.5,5020300,253.5
"205",2019-10-22,254.320007,258.329987,250.850006,255.580002,4600800,255.580002
"206",2019-10-23,254.5,256.140015,251.350006,254.679993,5261100,254.679993
"207",2019-10-24,298.369995,304.929993,289.200012,299.679993,29720900,299.679993
"208",2019-10-25,297.720001,330,296.109985,328.130005,30006100,328.130005
"209",2019-10-28,327.540009,340.839996,322.600006,327.709991,18870300,327.709991
"210",2019-10-29,319.98999,324.299988,314.75,316.220001,12684300,316.220001
"211",2019-10-30,313,318.790009,309.970001,315.01001,9641800,315.01001
"212",2019-10-31,313.100006,319,313,314.920013,5067000,314.920013
"213",2019-11-01,316.320007,316.480011,309.799988,313.309998,6383900,313.309998
"214",2019-11-04,314.799988,321.940002,309.26001,317.470001,8787000,317.470001
"215",2019-11-05,319.619995,323.51001,316.119995,317.220001,6943400,317.220001
"216",2019-11-06,318,326.720001,314.5,326.579987,7940900,326.579987
"217",2019-11-07,329.140015,341.5,328.019989,335.540009,14467300,335.540009
"218",2019-11-08,334.5,337.459991,332.5,337.140015,6069200,337.140015
"219",2019-11-11,343.950012,349.190002,342,345.089996,9986700,345.089996
"220",2019-11-12,346.899994,350.369995,344.040009,349.929993,7359400,349.929993
"221",2019-11-13,355,356.329987,345.179993,346.109985,8420100,346.109985
"222",2019-11-14,346.109985,353.839996,342.910004,349.350006,6464900,349.350006
"223",2019-11-15,350.640015,352.799988,348.359985,352.170013,4809000,352.170013
"224",2019-11-18,352.920013,353.149994,346.100006,349.98999,4400400,349.98999
"225",2019-11-19,351.75,359.98999,347.799988,359.519989,7724800,359.519989
"226",2019-11-20,360,361.200012,349.570007,352.220001,6725100,352.220001
"227",2019-11-21,354.51001,360.839996,354,354.829987,6110000,354.829987
"228",2019-11-22,340.160004,341,330,333.040009,16870600,333.040009
"229",2019-11-25,344.320007,344.570007,334.459991,336.339996,12339500,336.339996
"230",2019-11-26,335.269989,335.5,327.100006,328.920013,7947400,328.920013
"231",2019-11-27,331.119995,333.929993,328.570007,331.290009,5555600,331.290009
"232",2019-11-29,331.109985,331.26001,327.5,329.940002,2465600,329.940002
"233",2019-12-02,329.399994,336.380005,328.690002,334.869995,6074500,334.869995
"234",2019-12-03,332.619995,337.910004,332.190002,336.200012,6573700,336.200012
"235",2019-12-04,337.75,337.859985,332.850006,333.029999,5533000,333.029999
"236",2019-12-05,332.829987,334.420013,327.25,330.369995,3724600,330.369995
"237",2019-12-06,335,338.859985,334.769989,335.890015,7612400,335.890015
"238",2019-12-09,336.589996,344.450012,335.079987,339.529999,9023100,339.529999
"239",2019-12-10,339.959991,350.730011,339.309998,348.839996,8828300,348.839996
"240",2019-12-11,351.880005,357.190002,351.089996,352.700012,6897800,352.700012
"241",2019-12-12,354.920013,362.73999,353.230011,359.679993,7763900,359.679993
"242",2019-12-13,361.049988,365.209991,354.640015,358.390015,6570900,358.390015
"243",2019-12-16,362.549988,383.609985,362.5,381.5,18174200,381.5
"244",2019-12-17,378.98999,385.5,375.899994,378.98999,8496800,378.98999
"245",2019-12-18,380.630005,395.220001,380.579987,393.149994,14121000,393.149994
"246",2019-12-19,397.320007,406.850006,396.5,404.040009,18107100,404.040009
"247",2019-12-20,410.290009,413,400.190002,405.589996,14752700,405.589996
